aa,Qafár af
ab,Аҧсуа
ace,Acèh
af,Afrikaans
ak,Akan
aln,Gegë
als,Alemannisch
am,አማርኛ
an,Aragonés
ang,Ænglisc
anp,अङ्गिका
ar,العربية
arc,ܐܪܡܝܐ
arn,Mapudungun
ary,Maġribi
arz,مصرى
as,অসমীয়া
ast,Asturianu
av,Авар
avk,Kotava
ay,Aymar aru
az,Azərbaycanca
ba,Башҡортса
bar,Boarisch
bat-smg,Žemaitėška
bcc,بلوچی مکرانی
bcl,Bikol Central
be,Беларуская
be-tarask,‪Беларуская (тарашкевіца)‬
be-x-old,‪Беларуская (тарашкевіца)‬
bg,Български
bh,भोजपुरी
bho,भोजपुरी
bi,Bislama
bjn,Bahasa Banjar
bm,Bamanankan
bn,বাংলা
bo,བོད་ཡིག
bpy,ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী
bqi,بختياري
br,Brezhoneg
brh,Bráhuí
bs,Bosanski
bug,ᨅᨔ ᨕᨘᨁᨗ
bxr,Буряад
ca,Català
cbk-zam,Chavacano de Zamboanga
cdo,Mìng-dĕ̤ng-ngṳ̄
ce,Нохчийн
ceb,Cebuano
ch,Chamoru
cho,Choctaw
chr,ᏣᎳᎩ
chy,Tsetsêhestâhese
ckb,کوردی
co,Corsu
cps,Capiceño
cr,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ
crh,Qırımtatarca
crh-latn,‪Qırımtatarca (Latin)‬
crh-cyrl,‪Къырымтатарджа (Кирилл)‬
cs,Česky
csb,Kaszëbsczi
cu,Словѣ́ньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ
cv,Чӑвашла
cy,Cymraeg
da,Dansk
de,Deutsch
de-at,Österreichisches Deutsch
de-ch,Schweizer Hochdeutsch
de-formal,‪Deutsch (Sie-Form)‬
diq,Zazaki
dsb,Dolnoserbski
dtp,Dusun Bundu-liwan
dv,ދިވެހިބަސް
dz,ཇོང་ཁ
ee,Eʋegbe
el,Ελληνικά
eml,Emiliàn e rumagnòl
en,English
en-gb,British English
eo,Esperanto
es,Español
et,Eesti
eu,Euskara
ext,Estremeñu
fa,فارسی
ff,Fulfulde
fi,Suomi
fiu-vro,Võro
fj,Na Vosa Vakaviti
fo,Føroyskt
fr,Français
frc,Français cadien
frp,Arpetan
frr,Nordfriisk
fur,Furlan
fy,Frysk
ga,Gaeilge
gag,Gagauz
gan,贛語
gan-hans,‪赣语(简体)‬
gan-hant,‪贛語(繁體)‬
gd,Gàidhlig
gl,Galego
glk,گیلکی
gn,Avañe'ẽ
got,𐌲𐌿𐍄𐌹𐍃𐌺
grc,Ἀρχαία ἑλληνικὴ
gsw,Alemannisch
gu,ગુજરાતી
gv,Gaelg
ha,هَوُسَ
hak,Hak-kâ-fa
haw,Hawai`i
he,עברית
hi,हिन्दी
hif,Fiji Hindi
hif-latn,Fiji Hindi
hil,Ilonggo
ho,Hiri Motu
hr,Hrvatski
hsb,Hornjoserbsce
ht,Kreyòl ayisyen
hu,Magyar
hy,Հայերեն
hz,Otsiherero
ia,Interlingua
id,Bahasa Indonesia
ie,Interlingue
ig,Igbo
ii,ꆇꉙ
ik,Iñupiak
ike-cans,ᐃᓄᒃᑎᑐᑦ
ike-latn,inuktitut
ilo,Ilokano
inh,ГІалгІай Ğalğaj
io,Ido
is,Íslenska
it,Italiano
iu,ᐃᓄᒃᑎᑐᑦ/inuktitut
ja,日本語
jam,Patios
jbo,Lojban
jut,Jysk
jv,Basa Jawa
ka,ქართული
kaa,Qaraqalpaqsha
kab,Taqbaylit
kbd,Адыгэбзэ
kbd-cyrl,Адыгэбзэ
kg,Kongo
khw,کھوار
ki,Gĩkũyũ
kiu,Kırmancki
kj,Kwanyama
kk,Қазақша
kk-arab,‫قازاقشا (تٴوتە)‬
kk-cyrl,‪Қазақша (кирил)‬
kk-latn,‪Qazaqşa (latın)‬
kk-cn,‫قازاقشا (جۇنگو)‬
kk-kz,‪Қазақша (Қазақстан)‬
kk-tr,‪Qazaqşa (Türkïya)‬
kl,Kalaallisut
km,ភាសាខ្មែរ
kn,ಕನ್ನಡ
ko,한국어
ko-kp,한국어 (조선)
koi,Перем Коми
kr,Kanuri
krc,Къарачай-Малкъар
kri,Krio
krj,Kinaray-a
ks,कश्मीरी - (كشميري)
ks-arab,كشميري
ks-deva,कश्मीरी
ksh,Ripoarisch
ku,Kurdî
ku-latn,‪Kurdî (latînî)‬
ku-arab,‫كوردي (عەرەبی)‬
kv,Коми
kw,Kernowek
ky,Кыргызча
la,Latina
lad,Ladino
lb,Lëtzebuergesch
lbe,Лакку
lez,Лезги
lfn,Lingua Franca Nova
lg,Luganda
li,Limburgs
lij,Líguru
liv,Līvõ kēļ
lmo,Lumbaart
ln,Lingála
lo,ລາວ
loz,Silozi
lt,Lietuvių
ltg,Latgaļu
lv,Latviešu
lzh,文言
lzz,Lazuri
mai,मैथिली
map-bms,Basa Banyumasan
mdf,Мокшень
mg,Malagasy
mh,Ebon
mhr,Олык Марий
